sv_max,sv_range,num_peaks,avg_peak_height,avg_distance_between_peaks
1.771360438,1.1629353620000003,43,1.131054628860465,6.571428571428571
2.957570235,2.292786049,27,1.1514431269629628,3.8846153846153846
8.36927989,7.99931755,24,1.5479942191666665,6.608695652173913
6.75458656,6.38034366,44,1.3038696702272727,4.3023255813953485
10.74116753,10.22762466,53,1.402364099245283,5.4423076923076925
7.17866199,6.96644679,36,1.4888572738888888,6.0
1.439212628,0.6744870879999999,58,1.0819693493103448,5.631578947368421
3.39753928,2.7451536400000003,76,1.2038110101315789,4.08
1.532782704,0.8603306569999999,37,1.1654391208378378,6.277777777777778
1.903563634,1.811676149,49,1.150241416122449,6.125
1.549396162,0.99988067,54,1.1393649205925926,6.962264150943396
2.746012607,2.156366901,80,1.1885111462375,3.911392405063291
8.4470677,7.7705788899999995,34,1.351941560882353,4.0606060606060606
6.26386125,5.9165754999999995,32,1.3258345628125001,4.032258064516129
1.541192193,0.8485291550000001,42,1.149699135857143,7.317073170731708
1.432774886,0.755729842,37,1.097871182567567,6.888888888888889
8.40062835,8.0541123,47,1.4101309444680852,5.956521739130435
1.960636914,1.30265589,326,1.0256708104018404,4.72
1.369275407,0.7899740839999999,49,1.0937547891020407,6.1875
1.563075653,0.9005215860000001,54,1.1029621898148148,6.452830188679245
2.069993764,1.187845249,69,1.1145923762608694,5.3088235294117645
8.08254571,7.6236916,32,1.6500831171875001,6.451612903225806
2.598846628,2.364426991,77,1.1831141833636363,4.473684210526316
1.720673451,1.313952668,53,1.113652922490566,6.6923076923076925
1.52882412,0.8679362579999998,40,1.131869340375,6.923076923076923
3.638151883,3.23975201,90,1.1981415938333333,4.707865168539326
2.773198325,2.4686505800000003,112,1.146532071080357,4.495495495495495
5.78712651,5.42053059,29,1.367947533448276,3.7857142857142856
8.53372269,8.314281,32,1.4976499721875,6.129032258064516
8.88852042,8.59718441,32,1.5486363521875,3.903225806451613
1.399832538,0.7090372480000001,60,1.0641732054166666,6.52542372881356
1.433439058,0.871264617,47,1.091806994085106,5.717391304347826
1.58172306,1.0280684830000002,69,1.1374966754927538,6.735294117647059
8.23453508,8.05713944,43,1.4416887772093026,5.928571428571429
2.061634199,1.5349991349999996,44,1.1574009692045455,6.255813953488372
5.30167853,5.01840545,26,1.3059188053846154,4.2
6.9336373,6.77573371,50,1.3668958876,4.530612244897959
7.59822234,7.28621327,25,1.4778517244000002,5.458333333333333
4.577009725,4.211303721,83,1.1430622831686745,4.134146341463414
6.77522038,6.39968096,38,1.3538964271052634,4.108108108108108
8.12300444,8.00330527,28,1.4208493889285716,5.037037037037037
1.859520649,1.183264909,283,1.0335413131837456,5.4361702127659575
11.40126517,10.872167130000001,42,1.6053605899999999,4.414634146341464
2.804977046,2.4769494069999998,48,1.2174455835208333,5.8936170212765955
1.610539813,0.9444136029999999,25,1.1928676468800001,4.0
1.474426443,0.7770102710000001,35,1.1110234413999998,6.911764705882353
